"","n","Date","Course","Horse","Stake","Result","Result_comment","Price_taken","sp","win_total","pl_total","bet_profit_loss","running_profit_loss","cumulative_stake","win_percent_strike","profit_loss_percent_strike","win_percent_profit","comments","Price_taken_dec","SP_dec"
"1",1,2022-01-01,"Uttoxeter","Baltic Baron",100,0,"PU","4/1","11/1",0,0,-100,-100,100,0,0,-100,"Massive drifter.",5,12
"2",2,2022-01-01,"Exeter","Runasimi River",100,0,"unpl","11/2","15/2",0,0,-100,-200,200,0,0,-100,"Very weak – never went a yard.",6.5,8.5
"3",3,2022-01-02,"Naas","Killer Mode",100,2,"2nd","9/2","4/1",0,1,-100,-300,300,0,33.3333333333333,-100,"Beat by fav.",5.5,5
"4",4,2022-01-02,"Naas","Brooks Falls",100,0,"PU","10/1","14/1",0,1,-100,-400,400,0,25,-100,"Pushed along atw",11,15
"5",5,2022-01-02,"Plumpton","Nashville Nipper",100,1,"Won*","100/30","11/4",1,2,334,-66,500,20,40,-13.2,"",4.3,3.8
"6",6,2022-01-03,"Musselburgh","Les's Legacy",100,0,"PU","11/2","5/1",1,2,-100,-166,600,16.6666666666667,33.3333333333333,-27.6666666666667,"Never going well.",6.5,6
"7",7,2022-01-03,"Lingfield","Mick's Spirit",100,0,"unpl","5/2","3/1",1,2,-100,-266,700,14.2857142857143,28.5714285714286,-38,"Fav won. Wide draw costly at 5f.",3.5,4
"8",8,2022-01-05,"Wolves","Coolmeen Royal",100,1,"Won*","6/1*","6/1",2,3,600,334,800,25,37.5,41.75,"Weak in mkt",7,7
"9",9,2022-01-05,"Wolves","Deputise",100,2,"2nd","7/2","9/4",2,4,-100,234,900,22.2222222222222,44.4444444444444,26,"Widest into straight- fin wl jst fld",4.5,3.2
"10",10,2022-01-05,"Kempton","Airshow",100,1,"Won*","9/2","100/30",3,5,450,684,1000,30,50,68.4,"Made all",5.5,4.3
"11",11,2022-01-05,"Dundalk","Dinamine",100,0,"unpl","13/2","9/2",3,5,-100,584,1100,27.2727272727273,45.4545454545455,53.0909090909091,"No sort of race – finished last.",7.5,5.5
"12",12,2022-01-06,"Chepstow","Hatos",100,1,"Won*","5/2","5/2",4,6,250,834,1200,33.3333333333333,50,69.5,"Best bumper form",3.5,3.5
"13",13,2022-01-06,"Clonmel","Presenting Dylan",100,0,"unpl","16/1","25/1",4,6,-100,734,1300,30.7692307692308,46.1538461538462,56.4615384615385,"Any price you want – non-trier.",17,26
"14",14,2022-01-06,"Chelmsford","Shadow Angel",100,2,"2nd","5/1","5/1",4,7,-100,634,1400,28.5714285714286,50,45.2857142857143,"Fav won. Poorly placed, ran on late.",6,6
"15",15,2022-01-07,"Wolves","Glen Rosa",100,0,"unpl","11/2","9/2",4,7,-100,534,1500,26.6666666666667,46.6666666666667,35.6,"No excuses, creditable run.",6.5,5.5
"16",16,2022-01-08,"Wincanton","Apple Rock",100,0,"PU","9/2","9/2",4,7,-100,434,1600,25,43.75,27.125,"Never travelling.",5.5,5.5
"17",17,2022-01-08,"Kempton","Aurelia Gold",100,0,"unpl","5/1","5/1",4,7,-100,334,1700,23.5294117647059,41.1764705882353,19.6470588235294,"Found little.",6,6
"18",18,2022-01-09,"Ayr","Universal Folly",100,0,"unpl","100/30","4/1",4,7,-100,234,1800,22.2222222222222,38.8888888888889,13,"1st off bridle. Bet for sake of it. Lose these.",4.3,5
"19",19,2022-01-10,"Taunton","Yvette Guilbert",100,3,"3rd","11/2","11/2",4,8,-100,134,1900,21.0526315789474,42.1052631578947,7.05263157894737,"Looked winner turning in, not sustain chlge.",6.5,6.5
"20",20,2022-01-11,"Exeter","Dan's Chosen",100,0,"PU","100/30","7/2",4,8,-100,34,2000,20,40,1.7,"Well beaten",4.3,4.5
"21",21,2022-01-11,"Exeter","Feast",100,0,"unpl","3/1","5/1",4,8,-100,-66,2100,19.047619047619,38.0952380952381,-3.14285714285714,"Poor ride by Brennan, maybe deliberately.",4,6
"22",22,2022-01-11,"Southwell","Apache Star",100,0,"unpl","6/1","7/2",4,8,-100,-166,2200,18.1818181818182,36.3636363636364,-7.54545454545455,"Needed to make all, couldn’t.",7,4.5
"23",23,2022-01-12,"Lingfield","Rockfire",100,2,"2nd","7/2","5/2",4,9,-100,-266,2300,17.3913043478261,39.1304347826087,-11.5652173913043,"Tried to make all, got caught!",4.5,3.5
"24",24,2022-01-12,"Kempton","Dynakite",100,1,"Won*","15/2*","15/2",5,10,750,484,2400,20.8333333333333,41.6666666666667,20.1666666666667,"",8.5,8.5
"25",25,2022-01-13,"Chelmsford","Dubai Emperor",100,1,"Won*","4/1","11/4",6,11,400,884,2500,24,44,35.36,"Ahead of his mark",5,3.8
"26",26,2022-01-13,"Chelmsford","Western Music",100,0,"unpl","4/1","5/1",6,11,-100,784,2600,23.0769230769231,42.3076923076923,30.1538461538462,"Too free from a wide draw.",5,6
"27",27,2022-01-14,"Lingfield","Classy Dame",100,2,"2nd","7/2","5/1",6,12,-100,684,2700,22.2222222222222,44.4444444444444,25.3333333333333,"Fallon got her beat. Should have won.",4.5,6
"28",28,2022-01-14,"Wolves","Emerald Lady",100,0,"unpl","6/1","5/1",6,12,-100,584,2800,21.4285714285714,42.8571428571429,20.8571428571429,"Serious weakness in morning, never going well.",7,6
"29",29,2022-01-15,"Chelmsford","Kinderfrau",100,1,"Won*","9/2","4/1",7,13,450,1034,2900,24.1379310344828,44.8275862068966,35.6551724137931,"Cool ride from Marquand",5.5,5
"30",30,2022-01-16,"Southwell","Al Suil Eile",100,3,"3rd","6/1","9/1",7,14,-100,934,3000,23.3333333333333,46.6666666666667,31.1333333333333,"Weak but ran well. Moved off from inside draw",7,10
"31",31,2022-01-16,"Southwell","Burrows Seeside",100,2,"2nd","100/30","11/4",7,15,-100,834,3100,22.5806451612903,48.3870967741936,26.9032258064516,"Btn a nose. Headed leader but that one rallied back.",4.3,3.8
"32",32,2022-01-17,"Punchestown","Limerick Lace",100,1,"Won*","5/2","11/8",8,16,250,1084,3200,25,50,33.875,"Well backed. Morning market wrong.",3.5,2.4
"33",33,2022-01-17,"Punchestown","The Gradual Slope",100,0,"unpl","8/1","17/2",8,16,-100,984,3300,24.2424242424242,48.4848484848485,29.8181818181818,"Travelled well, ec - found nothing from two out.",9,9.5
"34",34,2022-01-18,"Southwell","Soaring Star",100,2,"2nd","100/30","3/1",8,17,-100,884,3400,23.5294117647059,50,26,"Attitude but 2nd best to fav who I shouldn’t have opposed",4.3,4
"35",35,2022-01-19,"Southwell","Hunters Step",100,0,"unpl","13/2","9/1",8,17,-100,784,3500,22.8571428571429,48.5714285714286,22.4,"Never went a yard. Beat one.",7.5,10
"36",36,2022-01-19,"Southwell","Fact or Fable",100,0,"unpl","9/2","4/1",8,17,-100,684,3600,22.2222222222222,47.2222222222222,19,"Found nothing after moving well.",5.5,5
"37",37,2022-01-20,"Newcastle","Balqaa",100,1,"Won*","7/2","3/1",9,18,350,1034,3700,24.3243243243243,48.6486486486487,27.9459459459459,"Well hcpd filly. Cool ride by Sean Levey",4.5,4
"38",38,2022-01-21,"Southwell","Al Qaasim",100,1,"Won*","9/2*","9/2",10,19,450,1484,3800,26.3157894736842,50,39.0526315789474,"Took on fav with Kempton form (Hugh Taylor pick)",5.5,5.5
"39",39,2022-01-21,"Southwell","Arkid",100,0,"unpl","4/1","3/1",10,19,-100,1384,3900,25.6410256410256,48.7179487179487,35.4871794871795,"Hard at work two  out - found nothing",5,4
"40",40,2022-01-21,"Newcastle","Idoapologise",100,0,"unpl","7/2","7/2",10,19,-100,1284,4000,25,47.5,32.1,"Did too much early. Unintelligent ride Eleish Whittingham",4.5,4.5
"41",41,2022-01-22,"Lingfield","Aced It",100,0,"unpl","13/2","5/1",10,19,-100,1184,4100,24.390243902439,46.3414634146341,28.8780487804878,"Poorly placed throughout from o/s draw - even at 12f.",7.5,6
"42",42,2022-01-22,"Wolves","Bass Strait",100,0,"unpl","9/2","11/2",10,19,-100,1084,4200,23.8095238095238,45.2380952380952,25.8095238095238,"Poorly placed in rear off slow pace. Couldn't find late on o/s",5.5,6.5
"43",43,2022-01-22,"Wolves","First Verse",100,0,"unpl","4/1","100/30",10,19,-100,984,4300,23.2558139534884,44.1860465116279,22.8837209302326,"Poorly placed too far back to make any impact.",5,4.3
"44",44,2022-01-24,"Kempton","Shadow Angel",100,0,"unpl","3/1","9/4",10,19,-100,884,4400,22.7272727272727,43.1818181818182,20.0909090909091,"Over racing in rear, found nothing. Filly in hood!!",4,3.2
"45",45,2022-01-25,"Lingfield","Yorktown",100,0,"unpl","5/1","7/2",10,19,-100,784,4500,22.2222222222222,42.2222222222222,17.4222222222222,"Travelled best into strt, found nothing. Drop in trip against.",6,4.5
"46",46,2022-01-28,"Wolves","Odd Socks Havana",100,3,"3rd","15/2","8/1",10,20,-100,684,4600,21.7391304347826,43.4782608695652,14.8695652173913,"Missed brk and too far off pace",8.5,9
"47",47,2022-01-28,"Wolves","Tadleel",100,1,"Won*","5/2","15/8",11,21,250,934,4700,23.4042553191489,44.6808510638298,19.8723404255319,"",3.5,2.9
"48",48,2022-01-28,"Dundalk","Teddy Boy",100,1,"Won*","14/1","17/2",12,22,1400,2334,4800,25,45.8333333333333,48.625,"",15,9.5
"49",49,2022-01-29,"Lingfield","One Step Beyond",100,3,"3rd","15/2","5/1",12,23,-100,2234,4900,24.4897959183673,46.9387755102041,45.5918367346939,"Choice of 3 - Got the wrong one.",8.5,6
"50",50,2022-01-30,"Naas","The Nice Guy",100,1,"Won*","3.3ex","6.5",13,24,219,2453,5000,26,48,49.06,"2nd fav with best bumper form",3.3,6.5
"51",51,2022-01-31,"Hereford","Kayf Taoi",100,2,"2nd","5/2","11/8",13,25,-100,2353,5100,25.4901960784314,49.0196078431373,46.1372549019608,"Looked beat then rallyied then hung and threw it away.",3.5,2.4
"52",52,2022-01-31,"Wolves","Lincoln Dream",100,1,"Won*","9/2","100/30",14,26,450,2803,5200,26.9230769230769,50,53.9038461538462,"One of two well weighted for claimer. Other  a hard puller so right choice.",5.5,4.3
"53",53,2022-02-01,"Wolves","Sandie's Dream",100,3,"3rd","9/2","4/1",14,27,-100,2703,5300,26.4150943396226,50.9433962264151,51,"Tvld well but missed chance to switch - not qukn close home.",5.5,5
"54",54,2022-02-01,"Wolves","Mick's Spirit",100,2,"2nd","4/1","7/2",14,28,-100,2603,5400,25.9259259259259,51.8518518518518,48.2037037037037,"Trckd leader, every chance, another too good. Expensive horse to follow.",5,4.5
"55",55,2022-02-02,"Dundalk","Stardayz",100,0,"unpl","18/1","22/1",14,28,-100,2503,5500,25.4545454545455,50.9090909090909,45.5090909090909,"Upped 4f  but went forward and keen!? Never going to get home, tailed off last.",19,23
"56",56,2022-02-02,"Kempton","Broughton's Flare",100,0,"unpl","5/1","9/2",14,28,-100,2403,5600,25,50,42.9107142857143,"Went ok then widest into straight and found nothing, faded long last.",6,5.5
"57",57,2022-02-02,"Kempton","How Hard Can It Be",100,1,"Won*","11/4","13/8",15,29,275,2678,5700,26.3157894736842,50.8771929824561,46.9824561403509,"Tvld well and always looking best. Holly Doyle perfect.",3.8,2.6
"58",58,2022-02-03,"Southwell","Salta Resta",100,0,"unpl","4/1","3/1",15,29,-100,2578,5800,25.8620689655172,50,44.448275862069,"Winning filly in a hood, pulled hard and no show after rough trip. Kirby poor.",5,4
"59",59,2022-02-03,"Chelmsford","Bella Colorossa",100,0,"unpl","4/1","100/30",15,29,-100,2478,5900,25.4237288135593,49.1525423728814,42,"Drop in trip looked suitable but got too far behind. Late headway, no chance from poor position.",5,4.3
"60",60,2022-02-05,"Lingfield","Militry Decoration",100,2,"2nd","8/1","6/1",15,30,-100,2378,6000,25,50,39.6333333333333,"Mystery fav won it - Ryan Moore for G Moore, well bckd. Finished well but the winner  had gone.",9,7
"61",61,2022-02-05,"Kempton","Twistaline",100,0,"unpl","9/2","9/2",15,30,-100,2278,6100,24.5901639344262,49.1803278688525,37.344262295082,"Too far back. Late headway into 4th but was never getting there. Result unfathomable.",5.5,5.5
"62",62,2022-02-07,"Wolves","Northern",100,2,"2nd","16/5","5/2",15,31,-100,2178,6200,24.1935483870968,50,35.1290322580645,"Nicola Currie kicked on early, well clear ff, but one came and did her on line. Short head, pair clear.",4.2,3.5
"63",63,2022-02-07,"Wolves","Dubai Emperor",100,1,"Won*","6/1","7/2",16,32,600,2778,6300,25.3968253968254,50.7936507936508,44.0952380952381,"Alwys trvlg got the gaps and won readily.",7,4.5
"64",64,2022-02-07,"Wolves","Broken Rifle",100,3,"3rd","7/2","5/1",16,33,-100,2678,6400,25,51.5625,41.84375,"Weak, Hu last, hdw st, evry ch ff, no ext cl hm. Winner was gambled 12 into 5/2.",4.5,6
"65",65,2022-02-08,"Southwell","Theotherside",100,2,"2nd","6/1","9/1",16,34,-100,2578,6500,24.6153846153846,52.3076923076923,39.6615384615385,"Took on HT who tipped the longer priced stablemate @12/1. Prices swapped round and HT right.",7,10
"66",66,2022-02-09,"Kempton","Yorktown",100,1,"Won*","4.2ex","11/4",17,35,304,2882,6600,25.7575757575758,53.030303030303,43.6666666666667,"Atoned for 25 Jan back up to 12f. HT nicked the 4/1 early. Last to 1st. Good ride Ross Coakley.",4.2,3.8
"67",67,2022-02-10,"Newcastle","Ballyare",100,2,"2nd","13/2","7/1",17,36,-100,2782,6700,25.3731343283582,53.7313432835821,41.5223880597015,"Smaller field not ideal but price generous.  Winner got away from him.",7.5,8
"68",68,2022-02-11,"Southwell","Louis Treize",100,1,"Won*","7/2","7/2",18,37,350,3132,6800,26.4705882352941,54.4117647058823,46.0588235294118,"Cantering ff looking for room. Led on line. Would have been a desperately unlucky loser.",4.5,4.5
"69",69,2022-02-11,"Chelmsford","Danni California",100,2,"2nd","100/30","4/1",18,38,-100,3032,6900,26.0869565217391,55.0724637681159,43.9420289855072,"Late hw to take 2nd but never getting to the fav. Hollie Doyle rode fav last twice and got off it.",4.3,5
"70",70,2022-02-11,"Chelmsford","Cap D'Antibes",100,2,"2nd","11/1","11/1",18,39,-100,2932,7000,25.7142857142857,55.7142857142857,41.8857142857143,"Swapped winner to back this on value. Pair had dead heated latest. Ran well but big mistake.",12,12
"71",71,2022-02-12,"Wolves","Broughton's Flare",100,2,"2nd","38ex","28/1",18,40,-100,2832,7100,25.3521126760563,56.3380281690141,39.887323943662,"Massive price. Cruised round in rear, hw, full of running. Could have won with stronger handling.",39,29
"72",72,2022-02-13,"Southwell","Arkid",100,0,"unpl","4/1","7/2",18,40,-100,2732,7200,25,55.5555555555556,37.9444444444444,"Drawn highest and never got near  pace. Last.",5,4.5
"73",73,2022-02-13,"Punchestown","Pont Du Gard",100,0,"unpl","4/1","100/30",18,40,-100,2632,7300,24.6575342465753,54.7945205479452,36.0547945205479,"Badly hampered by early faller, but never really going. Well held.",5,4.3
"74",74,2022-02-15,"Newcastle","Shalaa Asker",100,1,"Won*","11/2","5/1",19,41,550,3182,7400,25.6756756756757,55.4054054054054,43,"Needed to arrive late and a tad early if anything, but had to take  gap when it came. Held on.",6.5,6
"75",75,2022-02-15,"Newcastle","Morjhana",100,0,"unpl","7/1","4/1",19,41,-100,3082,7500,25.3333333333333,54.6666666666667,41.0933333333333,"Didn't have race run to suit but that not enough to excuse. Couldn't quicken. Of no further interest.",8,5
"76",76,2022-02-16,"Dundalk","Teddy Boy",100,0,"unpl","7/1","6/1",19,41,-100,2982,7600,25,53.9473684210526,39.2368421052632,"Run of good form came to an end. Too keen early and nothing there for the business end.",8,7
"77",77,2022-02-16,"Kempton","Luscifer",100,0,"unpl","12/1","10/1",19,41,-100,2882,7700,24.6753246753247,53.2467532467532,37.4285714285714,"Three options, went for price but most obvious one won. No excuses, poor run.",13,11
"78",78,2022-02-17,"Sandown","Operation Manna",100,2,"2nd","4/1","11/2",19,42,-100,2782,7800,24.3589743589744,53.8461538461538,35.6666666666667,"Jumped badly - but would have won if he'd jumped the last two. Best in race bar that.",5,6.5
"79",79,2022-02-17,"Chelmsford","Legend D'Art",100,1,"Won*","15/4","9/4",20,43,375,3157,7900,25.3164556962025,54.4303797468354,39.9620253164557,"Well backed. Head down on the line.",4.8,3.2
"80",80,2022-02-17,"Chelmsford","Dark Design",100,1,"Won*","5/2","2/1",21,44,250,3407,8000,26.25,55,42.5875,"Got split at right time and wasn't for stopping. Poor opposition made this a play at shortish price.",3.5,3
"81",81,2022-02-18,"Kelso","Travail D'Orfevre",100,0,"PU","100/30","5/1",21,44,-100,3307,8100,25.9259259259259,54.320987654321,40.8271604938272,"Weak. Jumped poorly, progress when lost place mid race and not recover. PU tired before last.",4.3,6
"82",82,2022-02-19,"Lingfield","Pirate King",100,0,"unpl","100/30","5/2",21,44,-100,3207,8200,25.609756097561,53.6585365853659,39.109756097561,"Undone by steady pace. Found nothing after turning in wide.",4.3,3.5
"83",83,2022-02-19,"Newcastle","Strategic Fortune",100,2,"2nd","3/1","9/4",21,45,-100,3107,8300,25.3012048192771,54.2168674698795,37.433734939759,"Cruising but not find enough as winner slipped field. One to be wary of.",4,3.2
"84",84,2022-02-21,"Newcastle","Engles Rock",100,0,"unpl","11/4","3/1",21,45,-100,3007,8400,25,53.5714285714286,35.7976190476191,"Free but going well,  never getting a run. Made up little when he finally did. Mulrennan poor.",3.8,4
"85",85,2022-02-21,"Dundalk","Reverberation",100,2,"2nd","16/5","5/2",21,46,-100,2907,8500,24.7058823529412,54.1176470588235,34.2,"Every chance, one too good. Poor connections were a big concern.",4.2,3.5
